CAR_ID,品牌系列,长度(mm),宽度(mm),高度(mm),轴距(mm),前轮距(mm),后轮距(mm),接近角(°),离去角(°),车身结构,车门开启方式,车门数(个),座位数(个),油箱容积(L),后备厢容积(L),风阻系数(Cd),最小离地间隙(mm),最大涉水深度(mm),最小转弯半径(m),满载最小离地间隙(mm),纵向通过角(°),最大爬坡度(%),最大载重质量(kg),后排车门开启方式,前备厢容积(L),最大爬坡角度(°),空载最小离地间隙(mm),氢瓶容积(L)
71973,奔驰C级,4882,1820,1461,2954,1589,1563,15,18,三厢车,平开门,(标配)4,(标配)5,66,455,,,,,,,,,,,,,
72315,奔驰GLE,4927,2018,1797,2995,1679,1728,21.3,24.4,SUV,平开门,(标配)5,(标配)5,85,825-2055,,,,,,,,,,,,,
70263,奔驰GLE,4927,2018,1797,2995,1679,1728,21.3,24.4,SUV,平开门,(标配)5,(标配)5,85,825-2055,,,,,,,,,,,,,
70262,奔驰GLE,4927,2018,1782,2995,1679,1728,25,27.3,SUV,平开门,(标配)5,"(标配)5,(选配)7",85,825-2055,,,,,,,,,,,,,
72316,奔驰GLE,4927,2018,1797,2995,1679,1728,21.3,24.4,SUV,平开门,(标配)5,"(标配)5,(选配)7",85,825-2055,,,,,,,,,,,,,
72313,奔驰GLE,4927,2018,1797,2995,1679,1728,21.3,24.4,SUV,平开门,(标配)5,(标配)5,85,825-2055,,,,,,,,,,,,,
70264,奔驰GLE,4927,2018,1797,2995,1679,1728,21.3,24.4,SUV,平开门,(标配)5,(标配)5,85,825-2055,,,,,,,,,,,,,
72314,奔驰GLE,4927,2018,1782,2995,1679,1728,25,27.3,SUV,平开门,(标配)5,"(标配)5,(选配)7",85,825-2055,,,,,,,,,,,,,
70265,奔驰GLE,4927,2018,1797,2995,1679,1728,21.3,24.4,SUV,平开门,(标配)5,"(标配)5,(选配)7",85,825-2055,,,,,,,,,,,,,
71821,奔驰S级,5290,1921,1503,3216,1655,1651,14.7,15.9,三厢车,平开门,(标配)4,(标配)5,76,535,0.22,,,,,,,,,,,,
