CAR_ID,品牌系列,前/后驻车雷达,驾驶辅助影像,前方感知摄像头,摄像头数量,车内摄像头数量,超声波雷达数量,透明底盘/540度影像,毫米波雷达数量,前方感知摄像头像素,辅助驾驶芯片,芯片总算力,激光雷达数量,前方最大探测距离,激光雷达品牌,激光雷达线数,激光雷达10%反射率探测距离,环视摄像头像素,环境感知摄像头像素,激光雷达型号,激光雷达点云数量
69627,奔驰C级,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目,(标配)5个,,(标配)12个,,,,,,,,,,,,,,
69628,奔驰C级,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目,(标配)5个,,(标配)12个,,,,,,,,,,,,,,
71924,奔驰C级,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目,(标配)5个,,(标配)12个,,,,,,,,,,,,,,
71973,奔驰C级,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目,(标配)5个,,(标配)12个,,,,,,,,,,,,,,
72315,奔驰GLE,前(标配) / 后(标配),"(标配)倒车影像,(选配)360度全景影像",(标配)单目x2,"(标配)3个,(选配)6个",,(标配)12个,(选配),(标配)5个,,,,,,,,,,,,
70263,奔驰GLE,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目x2,(标配)6个,,(标配)12个,(标配),(标配)5个,,,,,,,,,,,,
70262,奔驰GLE,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目x2,(标配)6个,,(标配)12个,(标配),(标配)5个,,,,,,,,,,,,
72316,奔驰GLE,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目x2,(标配)6个,,(标配)12个,(标配),(标配)5个,,,,,,,,,,,,
72313,奔驰GLE,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目x2,(标配)6个,,(标配)12个,(标配),(标配)5个,,,,,,,,,,,,
70264,奔驰GLE,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目x2,(标配)6个,,(标配)12个,(标配),(标配)5个,,,,,,,,,,,,
72314,奔驰GLE,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目x2,(标配)6个,,(标配)12个,(标配),(标配)5个,,,,,,,,,,,,
70265,奔驰GLE,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目x2,(标配)6个,,(标配)12个,(标配),(标配)5个,,,,,,,,,,,,
71821,奔驰S级,前(标配) / 后(标配),(标配)倒车影像,(标配)双目,(标配)3个,,(标配)12个,,,,,,,,,,,,,,
71819,奔驰S级,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,,(标配)12个,,,,,,,,,,,,,,
71820,奔驰S级,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,,(标配)12个,,,,,,,,,,,,,,
71818,奔驰S级,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,,(标配)12个,,,,,,,,,,,,,,
67448,奔驰S级,前(标配) / 后(标配),(标配)倒车影像,,,,,,,,,,,,,,,,,,
67449,奔驰S级,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
67450,奔驰S级,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
67451,奔驰S级,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
70558,迈巴赫S级,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,(标配)1个,(标配)12个,,(标配)5个,,,,,,,,,,,,
67444,迈巴赫S级,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
70557,迈巴赫S级,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,(标配)1个,(标配)12个,,(标配)5个,,,,,,,,,,,,
68040,迈巴赫S级,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
72308,迈巴赫S级,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,(标配)1个,(标配)12个,,(标配)5个,,,,,,,,,,,,
72306,迈巴赫S级,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,(标配)1个,(标配)12个,,(标配)5个,,,,,,,,,,,,
68041,迈巴赫S级,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
61337,迈巴赫S级,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
67446,迈巴赫S级,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
70555,迈巴赫S级,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
72307,迈巴赫S级,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
70556,迈巴赫S级,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
54579,迈巴赫S级,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
67445,迈巴赫S级,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
72305,迈巴赫S级,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
72410,奔驰GLB,前(标配) / 后(标配),(标配)倒车影像,,(标配)2个,,(标配)12个,,,,,,,,,,,,,,
72409,奔驰GLB,前(标配) / 后(标配),(标配)倒车影像,,(标配)2个,,(标配)12个,,,,,,,,,,,,,,
68210,奔驰GLB,前(标配) / 后(标配),(标配)倒车影像,,(标配)2个,,(标配)12个,,,,,,,,,,,,,,
68208,奔驰GLB,前(标配) / 后(标配),(标配)倒车影像,,(标配)2个,,(标配)12个,,,,,,,,,,,,,,
68209,奔驰GLB,前(标配) / 后(标配),"(标配)倒车影像,(选配)360度全景影像",,"(标配)2个,(选配)5个",,(标配)12个,,,,,,,,,,,,,,
68970,奔驰GLB,前(标配) / 后(标配),(标配)倒车影像,,,,,,,,,,,,,,,,,,
72408,奔驰GLB,前(标配) / 后(标配),(标配)倒车影像,,,,,,,,,,,,,,,,,,
68207,奔驰GLB,前(标配) / 后(标配),(标配)倒车影像,,,,,,,,,,,,,,,,,,
68206,奔驰GLB,前(标配) / 后(标配),(标配)倒车影像,,,,,,,,,,,,,,,,,,
68996,奔驰GLB,前(标配) / 后(标配),"(标配)倒车影像,(选配)360度全景影像",,,,,,,,,,,,,,,,,,
69208,奔驰A级,,(标配)倒车影像,,,,,,,,,,,,,,,,,,
69239,奔驰A级,前(标配) / 后(标配),(标配)倒车影像,,,,(标配)12个,,,,,,,,,,,,,,
65886,奔驰GLS,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目,(标配)5个,,(标配)12个,(标配),,,,,,,,,,,,,
65918,奔驰GLS,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目x2,(标配)6个,,(标配)12个,(标配),,,,,,,,,,,,,
70560,奔驰GLS,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目x2,(标配)6个,,(标配)12个,(标配),,,,,,,,,,,,,
65978,奔驰G级,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目,(标配)5个,,(标配)12个,(标配),,,,,,,,,,,,,
65977,奔驰G级,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
66721,奔驰G级,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
66524,奔驰G级,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
67435,奔驰G级,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
67805,奔驰V级,前(标配) / 后(标配),(标配)倒车影像,(标配)单目,(标配)2个,,(标配)12个,,,,,,,,,,,,,,
69449,奔驰V级,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目,(标配)5个,,(标配)12个,,,,,,,,,,,,,,
67807,奔驰V级,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目,(标配)6个,,(标配)12个,,,,,,,,,,,,,,
67806,奔驰V级,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目,(标配)6个,,(标配)12个,,,,,,,,,,,,,,
68065,奔驰G级AMG,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目,(标配)5个,,(标配)12个,,,,,,,,,,,,,,
67436,奔驰G级AMG,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目,(标配)5个,,(标配)12个,,,,,,,,,,,,,,
63735,奔驰G级AMG,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目,(标配)5个,,(标配)12个,,,,,,,,,,,,,,
72405,奔驰GLA,前(标配) / 后(标配),(标配)倒车影像,,,,,,,,,,,,,,,,,,
72406,奔驰GLA,前(标配) / 后(标配),(标配)倒车影像,,,,,,,,,,,,,,,,,,
69235,奔驰GLA,前(标配) / 后(标配),"(标配)倒车影像,(选配)360度全景影像",,,,,,,,,,,,,,,,,,
72407,奔驰GLA,前(标配) / 后(标配),(标配)倒车影像,,,,,,,,,,,,,,,,,,
69237,奔驰GLA,前(标配) / 后(标配),(标配)倒车影像,,,,,,,,,,,,,,,,,,
69236,奔驰GLA,前(标配) / 后(标配),"(标配)倒车影像,(选配)360度全景影像",,,,,,,,,,,,,,,,,,
67809,威霆,,,(标配)单目,(标配)1个,,,,,,,,,,,,,,,,
67810,威霆,,,(标配)单目,(标配)1个,,,,,,,,,,,,,,,,
67808,威霆,,,(标配)单目,(标配)1个,,,,,,,,,,,,,,,,
67813,威霆,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目,(标配)5个,,(标配)12个,,,,,,,,,,,,,,
67811,威霆,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目,(标配)5个,,(标配)12个,,,,,,,,,,,,,,
67812,威霆,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目,(标配)5个,,(标配)12个,,,,,,,,,,,,,,
70926,迈巴赫GLS,前(标配) / 后(标配),(标配)360度全景影像,,,,,(标配),,,,,,,,,,,,,
66811,迈巴赫GLS,前(标配) / 后(标配),(标配)360度全景影像,,,,,(标配),,,,,,,,,,,,,
70927,迈巴赫GLS,前(标配) / 后(标配),(标配)360度全景影像,,,,,(标配),,,,,,,,,,,,,
62314,迈巴赫GLS,前(标配) / 后(标配),(标配)360度全景影像,,,,,(标配),,,,,,,,,,,,,
63209,迈巴赫GLS,前(标配) / 后(标配),(标配)360度全景影像,,,,,(标配),,,,,,,,,,,,,
70925,迈巴赫GLS,前(标配) / 后(标配),(标配)360度全景影像,,,,,(标配),,,,,,,,,,,,,
69085,奔驰CLA(进口),前(标配) / 后(标配),(标配)倒车影像,,,,,,,,,,,,,,,,,,
68971,奔驰CLA(进口),前(标配) / 后(标配),(标配)倒车影像,,,,,,,,,,,,,,,,,,
72341,奔驰CLA(进口),前(标配) / 后(标配),(标配)倒车影像,,,,,,,,,,,,,,,,,,
