CAR_ID,品牌系列,简称,挡位个数,变速箱类型
68206,奔驰GLB,8挡湿式双离合,8,湿式双离合变速箱(DCT)
68996,奔驰GLB,8挡湿式双离合,8,湿式双离合变速箱(DCT)
69208,奔驰A级,7挡湿式双离合,7,湿式双离合变速箱(DCT)
69239,奔驰A级,7挡湿式双离合,7,湿式双离合变速箱(DCT)
65886,奔驰GLS,9挡手自一体,9,手自一体变速箱(AT)
65918,奔驰GLS,9挡手自一体,9,手自一体变速箱(AT)
70560,奔驰GLS,9挡手自一体,9,手自一体变速箱(AT)
65978,奔驰G级,9挡手自一体,9,手自一体变速箱(AT)
65977,奔驰G级,9挡手自一体,9,手自一体变速箱(AT)
66721,奔驰G级,9挡手自一体,9,手自一体变速箱(AT)
66524,奔驰G级,9挡手自一体,9,手自一体变速箱(AT)
67435,奔驰G级,9挡手自一体,9,手自一体变速箱(AT)
67805,奔驰V级,9挡手自一体,9,手自一体变速箱(AT)
69449,奔驰V级,9挡手自一体,9,手自一体变速箱(AT)
67807,奔驰V级,9挡手自一体,9,手自一体变速箱(AT)
67806,奔驰V级,9挡手自一体,9,手自一体变速箱(AT)
68065,奔驰G级AMG,9挡手自一体,9,手自一体变速箱(AT)
67436,奔驰G级AMG,9挡手自一体,9,手自一体变速箱(AT)
63735,奔驰G级AMG,9挡手自一体,9,手自一体变速箱(AT)
72405,奔驰GLA,7挡湿式双离合,7,湿式双离合变速箱(DCT)
72406,奔驰GLA,8挡湿式双离合,8,湿式双离合变速箱(DCT)
69235,奔驰GLA,8挡湿式双离合,8,湿式双离合变速箱(DCT)
72407,奔驰GLA,7挡湿式双离合,7,湿式双离合变速箱(DCT)
69237,奔驰GLA,8挡湿式双离合,8,湿式双离合变速箱(DCT)
69236,奔驰GLA,8挡湿式双离合,8,湿式双离合变速箱(DCT)
67809,威霆,9挡手自一体,9,手自一体变速箱(AT)
67810,威霆,9挡手自一体,9,手自一体变速箱(AT)
67808,威霆,9挡手自一体,9,手自一体变速箱(AT)
67813,威霆,9挡手自一体,9,手自一体变速箱(AT)
67811,威霆,9挡手自一体,9,手自一体变速箱(AT)
67812,威霆,9挡手自一体,9,手自一体变速箱(AT)
70926,迈巴赫GLS,9挡手自一体,9,手自一体变速箱(AT)
66811,迈巴赫GLS,9挡手自一体,9,手自一体变速箱(AT)
70927,迈巴赫GLS,9挡手自一体,9,手自一体变速箱(AT)
62314,迈巴赫GLS,9挡手自一体,9,手自一体变速箱(AT)
63209,迈巴赫GLS,9挡手自一体,9,手自一体变速箱(AT)
70925,迈巴赫GLS,9挡手自一体,9,手自一体变速箱(AT)
69085,奔驰CLA(进口),7挡湿式双离合,7,湿式双离合变速箱(DCT)
68971,奔驰CLA(进口),8挡湿式双离合,8,湿式双离合变速箱(DCT)
72341,奔驰CLA(进口),8挡湿式双离合,8,湿式双离合变速箱(DCT)
69086,奔驰CLA(进口),7挡湿式双离合,7,湿式双离合变速箱(DCT)
72342,奔驰CLA(进口),7挡湿式双离合,7,湿式双离合变速箱(DCT)
72343,奔驰CLA(进口),8挡湿式双离合,8,湿式双离合变速箱(DCT)
69088,奔驰CLA(进口),8挡湿式双离合,8,湿式双离合变速箱(DCT)
69084,奔驰CLA(进口),8挡湿式双离合,8,湿式双离合变速箱(DCT)
71445,奔驰CLE,9挡手自一体,9,手自一体变速箱(AT)
71443,奔驰CLE,9挡手自一体,9,手自一体变速箱(AT)
65901,奔驰CLE,9挡手自一体,9,手自一体变速箱(AT)
71442,奔驰CLE,9挡手自一体,9,手自一体变速箱(AT)
67283,奔驰CLE,9挡手自一体,9,手自一体变速箱(AT)
67439,奔驰CLE,9挡手自一体,9,手自一体变速箱(AT)
71444,奔驰CLE,9挡手自一体,9,手自一体变速箱(AT)
71441,奔驰CLE,9挡手自一体,9,手自一体变速箱(AT)
